0.12,16219787.0,1162.34,-2.65,18852907222.0,16219787.0,597018000.0,-7.44,15745.93011682,1195.32,1161.55,1160.02,1158.75
-0.24,16219812.0,1161.53,-2.75,18839798232.0,16219812.0,596985000.0,-7.48,15740.88324334,1195.26,1161.67,1160.52,1160.47
-0.32,16219812.0,1160.88,-2.82,18829255355.0,16219812.0,597287000.0,-7.52,15699.39419366,1195.09,1158.5,1156.75,1158.41
-0.58,16219812.0,1158.12,-3.06,18784488673.0,16219812.0,597152000.0,-7.71,15724.74570324,1194.97,1153.72,1152.71,1152.71
-0.68,16219812.0,1157.02,-3.17,18766646880.0,16219812.0,598377000.0,-7.78,15733.89737793,1194.83,1155.1,1153.5,1155.11
-0.76,16219837.0,1155.76,-3.28,18746238811.0,16219837.0,597810000.0,-7.86,15798.78542447,1194.61,1153.68,1152,1152
-1.24,16219837.0,1148.53,-3.91,18628969390.0,16219837.0,602730000.0,-8.36,16051.26970275,1193.53,1146.63,1145.05,1146.54
-1.3,16219900.0,1146.96,-4.04,18603576504.0,16219900.0,605601000.0,-8.46,16123.75497741,1193.23,1145.81,1142,1145.08
-1.5,16219900.0,1143.89,-4.31,18553781411.0,16219900.0,608939000.0,-8.64,16154.84781263,1193.07,1137.21,1135.51,1137.21
-1.78,16219925.0,1139.46,-4.68,18481955741.0,16219925.0,610982000.0,-8.95,16110.97604220,1192.52,1142.22,1142,1142
-1.99,16219925.0,1133.71,-5.16,18388691172.0,16219925.0,612225000.0,-9.35,16202.58459500,1191.34,1126.74,1124.66,1124.66
-2.25,16219925.0,1130.77,-5.4,18341004592.0,16219925.0,613125000.0,-9.58,16213.30348933,1189.20,1113.97,1113,1114
-2.87,16219950.0,1120.68,-6.23,18177373566.0,16219950.0,608739000.0,-10.32,16384.88601751,1187.23,1120.99,1118.87,1118.87
-2.17,16219950.0,1124.32,-5.91,18236414184.0,16219950.0,611559000.0,-9.99,16372.72912402,1186.65,1122.76,1122.13,1122.69
-1.58,16219975.0,1126.4,-5.72,18270179840.0,16219975.0,613170000.0,-9.77,16424.86284262,1186.33,1124.72,1122.33,1122.33
-1.43,16219975.0,1124.56,-5.82,18240335086.0,16219975.0,612539000.0,-9.87,16335.15594448,1185.72,1125,1124.55,1121.01
-0.63,16219975.0,1129.59,-5.36,18321921560.0,16219975.0,617563000.0,-9.44,16330.86896209,1185.57,1140.57,1138.83,1140.75
0.31,16219975.0,1133.7,-4.99,18388585658.0,16219975.0,619124000.0,-9.06,16329.05568712,1185.21,1129.63,1129.03,1129.63
0.71,16220000.0,1132.96,-5.01,18376611200.0,16220000.0,616923000.0,-9.07,16300.26610299,1185.03,1125.61,1124.94,1125.61
0.9,16220000.0,1133.52,-4.96,18385694400.0,16220000.0,616828000.0,-8.94,16290.83935175,1184.92,1130.89,1130.09,1130.72
0.62,16220012.0,1132.77,-4.98,18373542993.0,16220012.0,615636000.0,-8.92,16300.55215376,1184.79,1131.46,1129.07,1130.48
0.58,16220012.0,1132.42,-5.0,18367865989.0,16220012.0,616616000.0,-8.88,16365.98274815,1184.50,1126.34,1125.5,1126.38
0.35,16220050.0,1130.76,-5.11,18340983738.0,16220050.0,619397000.0,-8.93,16401.30571921,1184.34,1127.86,1126.51,1126.49
0.31,16220050.0,1134.14,-4.8,18395807507.0,16220050.0,621086000.0,-8.59,16397.71091221,1184.06,1138.3,1135.88,1138.43
0.39,16220087.0,1137.81,-4.47,18455377189.0,16220087.0,620876000.0,-8.21,15877.33438750,1182.06,1138.95,1135.78,1138.71
0.42,16220087.0,1138.15,-4.44,18460892019.0,16220087.0,617724000.0,-8.17,15788.37854642,1180.93,1134.23,1130.58,1134.22
0.35,16220087.0,1137.01,-4.5,18442401120.0,16220087.0,619657000.0,-8.2,15793.50768085,1180.17,1138.34,1134.74,1138.57
1.42,16220100.0,1148.35,-3.52,18626351835.0,16220100.0,646272000.0,-7.26,15752.38625972,1179.88,1137.34,1132.24,1134.12
1.74,16220100.0,1151.38,-3.26,18675498738.0,16220100.0,654064000.0,-6.98,15989.92512725,1178.90,1124.99,1124,1124
1.3,16220162.0,1147.87,-3.52,18618637355.0,16220162.0,656317000.0,-7.24,15954.39667356,1178.56,1118.99,1118.1,1118.99
1.08,16220162.0,1147.83,-3.5,18617988548.0,16220162.0,657301000.0,-7.19,15942.18995084,1178.04,1123.25,1120.93,1123.23
0.83,16220200.0,1147.03,-3.55,18605056006.0,16220200.0,661891000.0,-7.25,15949.00258517,1177.71,1115.97,1114.75,1116.48
0.6,16220200.0,1144.46,-3.76,18563370092.0,16220200.0,663152000.0,-7.46,16176.09582418,1176.46,1102,1100,1100
-0.96,16220250.0,1132.68,-4.73,18372352770.0,16220250.0,668536000.0,-8.46,17035.82246650,1171.63,1103.34,1101.34,1103.34
-1.44,16220250.0,1133.63,-4.63,18387762008.0,16220250.0,674633000.0,-8.4,17245.24562767,1170.87,1113.99,1110.47,1110.47
-1.39,16220275.0,1134.12,-4.58,18395738283.0,16220275.0,683648000.0,-8.38,17402.47939373,1169.94,1105.32,1102,1101.28
-1.42,16220275.0,1131.68,-4.78,18356160812.0,16220275.0,685966000.0,-8.57,17410.28136194,1169.38,1105.51,1105.2,1105.6
-1.04,16220275.0,1134.89,-4.5,18408227895.0,16220275.0,690292000.0,-8.3,17531.15596468,1168.54,1121.95,1120.97,1120.97
